datetime,location,depth_m,temp_degC
2024-06-16 19:00:00,Kipawa,1.5,16.985781249999995
2024-06-16 19:30:00,Kipawa,1.5,16.89998046875
2024-06-16 20:00:00,Kipawa,1.5,16.89998046875
2024-06-16 20:30:00,Kipawa,1.5,16.857080078125
2024-06-16 21:00:00,Kipawa,1.5,16.8141796875
2024-06-16 21:30:00,Kipawa,1.5,16.771279296875
2024-06-16 22:00:00,Kipawa,1.5,16.72837890625
2024-06-16 22:30:00,Kipawa,1.5,16.72837890625
2024-06-16 23:00:00,Kipawa,1.5,16.72837890625
2024-06-16 23:30:00,Kipawa,1.5,16.72837890625
2024-06-17 00:00:00,Kipawa,1.5,16.72837890625
2024-06-17 00:30:00,Kipawa,1.5,16.72837890625
2024-06-17 01:00:00,Kipawa,1.5,16.72837890625
2024-06-17 01:30:00,Kipawa,1.5,16.72837890625
2024-06-17 02:00:00,Kipawa,1.5,16.72837890625
2024-06-17 02:30:00,Kipawa,1.5,16.685478515625
2024-06-17 03:00:00,Kipawa,1.5,16.642578125
2024-06-17 03:30:00,Kipawa,1.5,16.642578125
2024-06-17 04:00:00,Kipawa,1.5,16.55677734375
2024-06-17 04:30:00,Kipawa,1.5,16.599677734375
2024-06-17 05:00:00,Kipawa,1.5,16.599677734375
2024-06-17 05:30:00,Kipawa,1.5,16.599677734375
2024-06-17 06:00:00,Kipawa,1.5,16.599677734375
2024-06-17 06:30:00,Kipawa,1.5,16.55677734375
2024-06-17 07:00:00,Kipawa,1.5,16.599677734375
2024-06-17 07:30:00,Kipawa,1.5,16.642578125
2024-06-17 08:00:00,Kipawa,1.5,16.599677734375
2024-06-17 08:30:00,Kipawa,1.5,16.642578125
2024-06-17 09:00:00,Kipawa,1.5,16.72837890625
2024-06-17 09:30:00,Kipawa,1.5,16.771279296875
2024-06-17 10:00:00,Kipawa,1.5,16.857080078125
2024-06-17 10:30:00,Kipawa,1.5,16.985781249999995
2024-06-17 11:00:00,Kipawa,1.5,16.89998046875
2024-06-17 11:30:00,Kipawa,1.5,17.028681640624995
2024-06-17 12:00:00,Kipawa,1.5,17.5005859375
2024-06-17 12:30:00,Kipawa,1.5,17.371884765625005
2024-06-17 13:00:00,Kipawa,1.5,17.371884765625005
2024-06-17 13:30:00,Kipawa,1.5,17.54348632812499
2024-06-17 14:00:00,Kipawa,1.5,17.6721875
2024-06-17 14:30:00,Kipawa,1.5,17.800888671874993
2024-06-17 15:00:00,Kipawa,1.5,18.015390625000002
2024-06-17 15:30:00,Kipawa,1.5,18.358593750000004
2024-06-17 16:00:00,Kipawa,1.5,18.444394531250005
2024-06-17 16:30:00,Kipawa,1.5,18.53019531249999
2024-06-17 17:00:00,Kipawa,1.5,18.401494140624997
2024-06-17 17:30:00,Kipawa,1.5,18.701796874999992
2024-06-17 18:00:00,Kipawa,1.5,18.058291015624995
2024-06-17 18:30:00,Kipawa,1.5,19.216601562499996
2024-06-17 19:00:00,Kipawa,1.5,19.68850585937499
2024-06-17 19:30:00,Kipawa,1.5,19.64560546875
2024-06-17 20:00:00,Kipawa,1.5,19.087900390625002
2024-06-17 20:30:00,Kipawa,1.5,19.516904296875005
2024-06-17 21:00:00,Kipawa,1.5,19.302402343749996
2024-06-17 21:30:00,Kipawa,1.5,18.873398437499993
2024-06-17 22:00:00,Kipawa,1.5,18.61599609374999
2024-06-17 22:30:00,Kipawa,1.5,18.61599609374999
2024-06-17 23:00:00,Kipawa,1.5,18.61599609374999
2024-06-17 23:30:00,Kipawa,1.5,18.658896484375
2024-06-18 00:00:00,Kipawa,1.5,18.444394531250005
2024-06-18 00:30:00,Kipawa,1.5,18.487294921874998
2024-06-18 01:00:00,Kipawa,1.5,18.315693359374997
2024-06-18 01:30:00,Kipawa,1.5,18.315693359374997
2024-06-18 02:00:00,Kipawa,1.5,18.186992187500003
2024-06-18 02:30:00,Kipawa,1.5,18.229892578124996
2024-06-18 03:00:00,Kipawa,1.5,18.401494140624997
2024-06-18 03:30:00,Kipawa,1.5,18.873398437499993
2024-06-18 04:00:00,Kipawa,1.5,18.959199218749994
2024-06-18 04:30:00,Kipawa,1.5,18.916298828125
2024-06-18 05:00:00,Kipawa,1.5,18.916298828125
2024-06-18 05:30:00,Kipawa,1.5,18.358593750000004
2024-06-18 06:00:00,Kipawa,1.5,18.701796874999992
2024-06-18 06:30:00,Kipawa,1.5,18.701796874999992
2024-06-18 07:00:00,Kipawa,1.5,18.444394531250005
2024-06-18 07:30:00,Kipawa,1.5,18.444394531250005
2024-06-18 08:00:00,Kipawa,1.5,18.401494140624997
2024-06-18 08:30:00,Kipawa,1.5,18.444394531250005
2024-06-18 09:00:00,Kipawa,1.5,18.358593750000004
2024-06-18 09:30:00,Kipawa,1.5,18.358593750000004
2024-06-18 10:00:00,Kipawa,1.5,18.487294921874998
2024-06-18 10:30:00,Kipawa,1.5,18.658896484375
2024-06-18 11:00:00,Kipawa,1.5,18.959199218749994
2024-06-18 11:30:00,Kipawa,1.5,18.916298828125
2024-06-18 12:00:00,Kipawa,1.5,18.744697265625
2024-06-18 12:30:00,Kipawa,1.5,20.117509765624995
2024-06-18 13:00:00,Kipawa,1.5,20.460712890624997
2024-06-18 13:30:00,Kipawa,1.5,20.76101562499999
2024-06-18 14:00:00,Kipawa,1.5,21.018417968749993
2024-06-18 14:30:00,Kipawa,1.5,21.232919921875002
2024-06-18 15:00:00,Kipawa,1.5,21.447421874999996
2024-06-18 15:30:00,Kipawa,1.5,21.447421874999996
2024-06-18 16:00:00,Kipawa,1.5,21.447421874999996
2024-06-18 16:30:00,Kipawa,1.5,21.83352539062499
2024-06-18 17:00:00,Kipawa,1.5,21.9622265625
2024-06-18 17:30:00,Kipawa,1.5,21.74772460937499
2024-06-18 18:00:00,Kipawa,1.5,21.661923828125005
2024-06-18 18:30:00,Kipawa,1.5,21.447421874999996
2024-06-18 19:00:00,Kipawa,1.5,21.661923828125005
2024-06-18 19:30:00,Kipawa,1.5,21.74772460937499
2024-06-18 20:00:00,Kipawa,1.5,22.133828125
2024-06-18 20:30:00,Kipawa,1.5,21.704824218749998
2024-06-18 21:00:00,Kipawa,1.5,21.704824218749998
2024-06-18 21:30:00,Kipawa,1.5,21.104218749999994
2024-06-18 22:00:00,Kipawa,1.5,21.190019531249995
2024-06-18 22:30:00,Kipawa,1.5,21.018417968749993
2024-06-18 23:00:00,Kipawa,1.5,20.803916015625
2024-06-18 23:30:00,Kipawa,1.5,21.061318359375
2024-06-19 00:00:00,Kipawa,1.5,21.147119140625
2024-06-19 00:30:00,Kipawa,1.5,21.061318359375
2024-06-19 01:00:00,Kipawa,1.5,21.190019531249995
2024-06-19 01:30:00,Kipawa,1.5,21.275820312499995
2024-06-19 02:00:00,Kipawa,1.5,21.447421874999996
2024-06-19 02:30:00,Kipawa,1.5,21.361621093749996
2024-06-19 03:00:00,Kipawa,1.5,21.275820312499995
2024-06-19 03:30:00,Kipawa,1.5,21.275820312499995
2024-06-19 04:00:00,Kipawa,1.5,21.190019531249995
2024-06-19 04:30:00,Kipawa,1.5,21.232919921875002
2024-06-19 05:00:00,Kipawa,1.5,21.232919921875002
2024-06-19 05:30:00,Kipawa,1.5,21.232919921875002
2024-06-19 06:00:00,Kipawa,1.5,21.190019531249995
2024-06-19 06:30:00,Kipawa,1.5,21.190019531249995
2024-06-19 07:00:00,Kipawa,1.5,21.232919921875002
2024-06-19 07:30:00,Kipawa,1.5,21.275820312499995
2024-06-19 08:00:00,Kipawa,1.5,21.275820312499995
2024-06-19 08:30:00,Kipawa,1.5,21.318720703125003
2024-06-19 09:00:00,Kipawa,1.5,21.361621093749996
2024-06-19 09:30:00,Kipawa,1.5,21.361621093749996
2024-06-19 10:00:00,Kipawa,1.5,21.447421874999996
2024-06-19 10:30:00,Kipawa,1.5,21.74772460937499
2024-06-19 11:00:00,Kipawa,1.5,22.090927734374993
2024-06-19 11:30:00,Kipawa,1.5,21.87642578125
2024-06-19 12:00:00,Kipawa,1.5,22.090927734374993
2024-06-19 12:30:00,Kipawa,1.5,22.991835937499992
2024-06-19 13:00:00,Kipawa,1.5,23.163437499999993
2024-06-19 13:30:00,Kipawa,1.5,22.777333984374998
2024-06-19 14:00:00,Kipawa,1.5,22.519931640624996
2024-06-19 14:30:00,Kipawa,1.5,22.948935546875
2024-06-19 15:00:00,Kipawa,1.5,22.477031250000003
2024-06-19 15:30:00,Kipawa,1.5,22.391230468750003
2024-06-19 16:00:00,Kipawa,1.5,22.691533203124997
2024-06-19 16:30:00,Kipawa,1.5,23.077636718749993
2024-06-19 17:00:00,Kipawa,1.5,23.163437499999993
2024-06-19 17:30:00,Kipawa,1.5,22.948935546875
2024-06-19 18:00:00,Kipawa,1.5,22.90603515624999
2024-06-19 18:30:00,Kipawa,1.5,22.991835937499992
2024-06-19 19:00:00,Kipawa,1.5,22.734433593750005
2024-06-19 19:30:00,Kipawa,1.5,22.82023437499999
2024-06-19 20:00:00,Kipawa,1.5,22.863134765625
2024-06-19 20:30:00,Kipawa,1.5,22.734433593750005
2024-06-19 21:00:00,Kipawa,1.5,22.648632812500004
2024-06-19 21:30:00,Kipawa,1.5,22.562832031250004
2024-06-19 22:00:00,Kipawa,1.5,22.605732421874997
2024-06-19 22:30:00,Kipawa,1.5,22.562832031250004
2024-06-19 23:00:00,Kipawa,1.5,22.519931640624996
